Movie_ID,Runtime
tt4458206,114 min
tt4009460,80 min
tt0270846,88 min
tt0421051,81 min
tt0060666,70 min
tt0417056,91 min
tt0808240,110 min
tt0249516,91 min
tt1316037,105 min
tt1309000,N/A
tt0330994,90 min
tt1213644,87 min
tt0463392,81 min
tt0804492,91 min
tt0470833,105 min
tt0339034,81 min
tt0830861,85 min
tt0473310,171 min
tt0096870,99 min
tt0953989,100 min
tt2071491,75 min
tt4404474,81 min
tt0364986,85 min
tt1623780,84 min
tt2344678,150 min
tt1674047,90 min
tt0059464,70 min
tt0317676,90 min
tt0785077,93 min
tt3036740,159 min
tt0089280,88 min
tt0118589,104 min
tt0054673,54 min
tt0362165,94 min
tt0473024,95 min
tt0096149,91 min
tt0060753,89 min
tt0086026,80 min
tt0367677,86 min
tt0061191,70 min
tt0456014,87 min
tt0799949,86 min
tt0369226,96 min
tt0058615,78 min
tt0093405,85 min
tt0087258,90 min
tt0055946,90 min
tt0162930,88 min
tt0929809,100 min
tt2814362,110 min
tt0299930,121 min
tt5290620,124 min
tt0081693,90 min
tt0185183,118 min
tt0469849,97 min
tt6038600,120 min
tt0075343,90 min
tt0315775,91 min
tt0055562,74 min
tt0057181,82 min
tt0072666,100 min
tt0057507,75 min
tt0174685,94 min
tt1520498,88 min
tt0118836,95 min
tt0116839,93 min
tt0451109,100 min
tt0066476,90 min
tt0118665,97 min
tt0100665,94 min
tt0086972,92 min
tt0053464,121 min
tt0168172,85 min
tt0058548,81 min
tt1572311,135 min
tt1651323,82 min
tt0117550,97 min
tt0092297,89 min
tt0088772,91 min
tt0112873,70 min
tt0382028,75 min
tt0109376,89 min
tt1098327,85 min
tt0050717,65 min
tt0054333,77 min
tt0073396,97 min
tt0114658,92 min
tt0053241,94 min
tt0077834,85 min
tt0116165,94 min
tt0201844,85 min
tt0145529,89 min
tt0088100,90 min
tt1073498,86 min
tt0110169,77 min
tt0037798,68 min
tt0071198,91 min
tt0120214,79 min
tt0099656,90 min
tt0088380,92 min
tt0111161,142 min
tt0068646,175 min
tt0071562,202 min
tt0468569,152 min
tt0050083,96 min
tt0108052,195 min
tt0167260,201 min
tt0110912,154 min
tt0137523,139 min
tt0120737,178 min
tt0109830,142 min
tt0080684,124 min
tt1375666,148 min
tt0167261,179 min
tt0073486,133 min
tt0099685,146 min
tt0133093,136 min
tt0076759,121 min
tt0114369,127 min
tt0038650,130 min
tt0102926,118 min
tt0114814,106 min
tt0110413,110 min
tt0120815,169 min
tt0021749,87 min
tt0816692,169 min
tt0120586,119 min
tt0027977,87 min
tt0034583,102 min
tt0120689,189 min
tt0054215,109 min
tt0082971,115 min
tt0253474,150 min
tt0047396,112 min
tt0407887,151 min
tt2582802,107 min
tt0103064,137 min
tt0088763,116 min
tt0172495,155 min
tt0110357,88 min
tt0482571,130 min
tt0078788,153 min
tt0209144,113 min
tt0032553,125 min
tt0043014,110 min
tt0078748,117 min
tt0057012,95 min
tt0050825,88 min
tt1853728,165 min
tt0081505,146 min
tt0051201,116 min
tt1345836,164 min
tt0910970,98 min
tt0169547,122 min
tt0087843,229 min
tt0090605,137 min
tt0033467,119 min
tt0053125,136 min
tt0052357,128 min
tt0086190,131 min
tt0112573,178 min
tt0105236,99 min
tt0036775,107 min
tt0180093,102 min
tt0056172,216 min
tt0012349,68 min
tt0066921,136 min
tt0086879,160 min
tt0056592,129 min
tt0338013,108 min
tt0045152,103 min
tt0075314,113 min
tt0070735,129 min
tt0435761,103 min
tt0062622,149 min
tt0093058,116 min
tt3890160,113 min
tt0114709,81 min
tt0361748,153 min
tt0208092,102 min
tt0053604,125 min
tt0042192,138 min
tt0071853,91 min
tt0086250,170 min
tt0119488,138 min
tt0119217,126 min
tt0040897,126 min
tt0097576,127 min
tt0053291,121 min
tt0372784,140 min
tt1049413,96 min
tt0041959,93 min
tt0105695,131 min
tt0055031,186 min
tt0081398,129 min
tt0057115,172 min
tt0113277,170 min
tt0095016,131 min
tt0015864,95 min
tt0071315,130 min
tt0047296,108 min
tt0031679,129 min
tt0017925,67 min
tt2096673,95 min
tt0050212,161 min
tt3170832,118 min
tt3783958,128 min
tt3315342,137 min
tt0083658,117 min
tt0120735,107 min
tt0112641,178 min
tt0268978,135 min
tt0080678,124 min
tt1291584,140 min
tt0434409,132 min
tt0993846,180 min
tt0046912,105 min
tt2119532,139 min
tt0031381,238 min
tt0074896,177 min
tt0032976,130 min
tt0117951,94 min
tt0077416,183 min
tt0061512,126 min
tt1205489,116 min
tt0118715,117 min
tt0084787,109 min
tt0025316,105 min
tt0116282,98 min
tt0167404,107 min
tt0266543,100 min
tt0978762,92 min
tt0477348,122 min
tt0892769,98 min
tt0469494,158 min
tt0758758,148 min
tt0266697,111 min
tt2267998,149 min
tt0079470,94 min
tt0074958,121 min
tt1130884,138 min
tt0107207,133 min
tt1979320,123 min
tt0395169,121 min
tt0091763,120 min
tt1865505,93 min
tt0052618,212 min
tt0092005,89 min
tt1028532,93 min
tt0041546,106 min
tt0033870,100 min
tt0064115,110 min
tt0120731,165 min
tt1895587,128 min
tt0037558,86 min
tt0036868,170 min
tt0032551,129 min
tt2024544,134 min
tt2278388,99 min
tt1392190,120 min
tt0093779,98 min
tt0056687,134 min
tt0405159,132 min
tt0107290,127 min
tt0052311,95 min
tt2250912,133 min
tt0112471,101 min
tt0120382,103 min
tt1201607,130 min
tt2488496,136 min
tt0087884,145 min
tt0067328,118 min
tt0083987,191 min
tt0072684,184 min
tt0075148,120 min
tt0075686,93 min
tt1392214,153 min
tt0246578,113 min
tt0264464,141 min
tt0056217,123 min
tt0037008,88 min
tt0198781,92 min
tt0440963,115 min
tt0051459,108 min
tt0032138,102 min
tt0069281,138 min
tt0046250,118 min
tt0039689,97 min
tt0052561,160 min
tt0061184,131 min
tt0088247,107 min
tt0107048,101 min
tt1454029,146 min
tt0044079,101 min
tt0048424,92 min
tt0020629,136 min
tt0101414,84 min
tt3741834,118 min
tt0114746,129 min
tt2015381,121 min
tt0072890,125 min
tt0073195,124 min
tt2948356,108 min
tt3896198,136 min
tt0325980,143 min
tt0381681,80 min
tt2084970,114 min
tt0072431,106 min
tt0046359,120 min
tt0276919,178 min
tt0097165,128 min
tt0044706,85 min
tt0070511,151 min
tt0044081,122 min
tt0036613,118 min
tt0401792,124 min
tt0054997,134 min
tt0026778,96 min
tt0049406,85 min
tt0848228,143 min
tt0038787,101 min
tt0042546,104 min
tt3659388,144 min
tt0070047,122 min
tt0053221,141 min
tt0032904,112 min
tt0040746,80 min
tt0038355,114 min
tt0084503,95 min
tt1504320,118 min
tt0085334,94 min
tt0061722,106 min
tt0102138,189 min
tt0117666,135 min
tt0450259,143 min
tt0175880,188 min
tt0095953,133 min
tt1663202,156 min
tt0107688,76 min
tt0056218,126 min
tt1431045,108 min
tt0065214,135 min
tt0103639,90 min
tt0319061,125 min
tt0066206,172 min
tt0037884,101 min
tt2370248,96 min
tt0032599,92 min
tt0166896,112 min
tt1010048,120 min
tt0066763,122 min
tt3417422,160 min
tt0093603,145 min
tt0367495,160 min
tt5074352,161 min
tt0079221,144 min
tt0400234,143 min
tt0986264,165 min
tt0085743,132 min
tt1187043,170 min
tt0048473,125 min
tt0072783,127 min
tt0101649,157 min
tt0466460,135 min
tt1280558,104 min
tt4987556,160 min
tt0405508,157 min
tt4849438,167 min
tt4430212,163 min
tt0073707,162 min
tt4934950,132 min
tt0242519,156 min
tt0374887,156 min
tt0109117,160 min
tt1620933,135 min
tt3322420,146 min
tt0375611,122 min
tt0104561,174 min
tt1954470,320 min
tt0367110,189 min
tt2283748,125 min
tt2181831,129 min
tt2356180,186 min
tt0052572,105 min
tt1639426,134 min
tt0871510,153 min
tt3569782,171 min
tt1821480,122 min
tt0195231,170 min
tt5571734,136 min
tt0292490,183 min
tt0048956,110 min
tt4679210,156 min
tt0169102,224 min
tt2338151,153 min
tt2218988,151 min
tt0105271,137 min
tt0200087,174 min
tt0453729,132 min
tt0379370,132 min
tt3668162,171 min
tt5312232,174 min
tt0488414,155 min
tt0456144,144 min
tt1562872,155 min
tt0139876,145 min
tt0843326,170 min
tt0112870,181 min
tt2082197,151 min
tt2882328,128 min
tt0319736,155 min
tt0072860,174 min
tt0376127,157 min
tt3390572,160 min
tt0050188,172 min
tt4635372,109 min
tt1327035,144 min
tt1261047,140 min
tt0471571,172 min
tt0112553,130 min
tt2358592,135 min
tt0296574,155 min
tt2377938,144 min
tt0116630,185 min
tt1093370,138 min
tt3449292,120 min
tt0220832,145 min
tt4387040,130 min
tt3863552,163 min
tt3614516,107 min
tt2631186,159 min
tt0347304,186 min
tt0222012,186 min
tt3848892,159 min
tt0402014,129 min
tt0323013,186 min
tt1077248,135 min
tt1188996,165 min
tt0373856,157 min
tt2181931,134 min
tt1180583,169 min
tt0118751,176 min
tt2926068,163 min
tt5764096,132 min
tt1230165,145 min
tt0366840,170 min
tt0077451,166 min
tt0093578,179 min
tt1292703,125 min
tt4432480,149 min
tt2350496,104 min
tt4434004,148 min
tt2317337,126 min
tt0291376,187 min
tt4900716,132 min
tt0196069,138 min
tt0499375,166 min
tt0150433,110 min
tt1241195,99 min
tt2258337,145 min
tt0098999,174 min
tt0420332,192 min
tt0816258,164 min
tt1926313,149 min
tt5286444,122 min
tt0432047,124 min
tt2855648,130 min
tt0110222,158 min
tt0109555,178 min
tt1014672,95 min
tt2140465,128 min
tt0172684,177 min
tt2213054,120 min
tt4169250,184 min
tt6299040,116 min
tt4981966,164 min
tt0106333,175 min
tt3447364,139 min
tt0449994,213 min
tt1324059,138 min
tt2980794,133 min
tt0306434,165 min
tt1447500,147 min
tt1934231,103 min
tt3767372,123 min
tt1839596,159 min
tt0095936,162 min
tt0164538,163 min
tt5310090,109 min
tt0451919,137 min
tt0238936,185 min
tt0110076,206 min
tt0347332,174 min
tt0150992,188 min
tt3801314,166 min
tt2359810,140 min
tt0371735,153 min
tt0114234,142 min
tt0422320,160 min
tt2375559,170 min
tt1434447,150 min
tt0473367,155 min
tt5713232,133 min
tt1447508,95 min
tt2187153,165 min
tt3495030,110 min
tt0449951,175 min
tt5946128,151 min
tt1705772,155 min
tt0337578,181 min
tt0382383,161 min
tt3678782,128 min
tt1438298,126 min
tt0104605,157 min
tt0233422,155 min
tt1274295,130 min
tt0248126,210 min
tt0479751,188 min
tt1395054,134 min
tt0100095,192 min
tt0265343,114 min
tt0800956,132 min
tt0443708,139 min
tt2621000,135 min
tt0190419,162 min
tt1345777,118 min
tt1582519,170 min
tt0495034,150 min
tt2224317,136 min
tt3495000,113 min
tt5662932,133 min
tt0437407,130 min
tt1836912,121 min
tt1166100,183 min
tt4727512,158 min
tt1610452,139 min
tt2556308,170 min
tt4430136,137 min
tt0995031,159 min
tt1756476,170 min
tt2072227,120 min
tt0795434,128 min
tt0476884,116 min
tt1629391,95 min
tt1734110,136 min
tt5982852,137 min
tt4814290,136 min
tt2385104,153 min
tt2180477,188 min
tt1355546,162 min
tt5098128,168 min
tt4833824,135 min
tt1532957,133 min
tt1787988,140 min
tt0110546,177 min
tt3742284,115 min
tt0439662,168 min
tt2302966,188 min
tt0461936,171 min
tt0497915,129 min
tt2675978,152 min
tt3735246,158 min
tt0284137,170 min
tt2424988,128 min
tt1291465,163 min
tt0315642,103 min
tt4258292,168 min
tt0479651,189 min
tt3148502,139 min
tt0811066,122 min
tt1433810,100 min
tt0845448,136 min
tt3142764,163 min
tt0886539,156 min
tt0254481,171 min
tt3042926,170 min
tt1182937,167 min
tt2229842,108 min
tt5255710,154 min
tt5996836,151 min
tt4168188,135 min
tt0378072,142 min
tt0374271,132 min
tt1451409,161 min
tt0213890,216 min
tt0118983,179 min
tt4832640,170 min
tt5165344,148 min
tt0119861,191 min
tt1373156,135 min
tt0390614,153 min
tt0173102,152 min
tt5460276,139 min
tt2071613,133 min
tt0330843,138 min
tt0964516,167 min
tt0347473,179 min
tt2372678,149 min
tt1285241,148 min
tt2178470,160 min
tt0060196,178 min
tt0047478,207 min
tt0317248,130 min
tt0118799,116 min
tt0245429,125 min
tt0064116,164 min
tt1675434,112 min
tt0095765,155 min
tt0405094,137 min
tt0095327,89 min
tt0119698,134 min
tt0364569,120 min
tt0082096,149 min
tt0022100,99 min
tt0211915,122 min
tt5311514,106 min
tt0040522,89 min
tt0059578,132 min
tt2106476,115 min
tt0476735,108 min
tt0042876,88 min
tt1832382,123 min
tt0017136,153 min
tt0055630,110 min
tt0363163,156 min
tt0118849,89 min
tt0044741,143 min
tt0457430,118 min
tt0096283,86 min
tt0089881,162 min
tt1305806,129 min
tt0347149,119 min
tt1255953,131 min
tt0050976,96 min
tt0060107,205 min
tt0050986,91 min
tt0116231,128 min
tt0018455,94 min
tt0046438,136 min
tt0019254,114 min
tt0091251,142 min
tt3011894,122 min
tt0046268,131 min
tt0053198,99 min
tt0060827,83 min
tt0353969,132 min
tt0245712,154 min
tt0079944,163 min
tt0050783,110 min
tt0087544,117 min
tt0046911,117 min
tt0056801,138 min
tt0113247,98 min
tt0338564,101 min
tt0058946,121 min
tt0118694,98 min
